site,month,hour,kw_per_kw
north,1,0,0.0
north,1,1,0.0
north,1,2,0.0
north,1,3,0.0
north,1,4,0.0
north,1,5,0.0
north,1,6,0.0
north,1,7,0.0
north,1,8,0.0422
north,1,9,0.1981
north,1,10,0.3259
north,1,11,0.4066
north,1,12,0.4589
north,1,13,0.4485
north,1,14,0.4002
north,1,15,0.2901
north,1,16,0.162
north,1,17,0.0236
north,1,18,0.0
north,1,19,0.0
north,1,20,0.0
north,1,21,0.0
north,1,22,0.0
north,1,23,0.0
north,2,0,0.0
north,2,1,0.0
north,2,2,0.0
north,2,3,0.0
north,2,4,0.0
north,2,5,0.0
north,2,6,0.0
north,2,7,0.0034
north,2,8,0.0912
north,2,9,0.2102
north,2,10,0.3073
north,2,11,0.3781
north,2,12,0.4574
north,2,13,0.4411
north,2,14,0.416
north,2,15,0.3248
north,2,16,0.198
north,2,17,0.0752
north,2,18,0.0026
north,2,19,0.0
north,2,20,0.0
north,2,21,0.0
north,2,22,0.0
north,2,23,0.0
north,3,0,0.0
north,3,1,0.0
north,3,2,0.0
north,3,3,0.0
north,3,4,0.0
north,3,5,0.0
north,3,6,0.0008
north,3,7,0.0516
north,3,8,0.1804
north,3,9,0.3011
north,3,10,0.3981
north,3,11,0.4558
north,3,12,0.4736
north,3,13,0.4569
north,3,14,0.4169
north,3,15,0.3395
north,3,16,0.2374
north,3,17,0.1284
north,3,18,0.0289
north,3,19,0.0
north,3,20,0.0
north,3,21,0.0
north,3,22,0.0
north,3,23,0.0
north,4,0,0.0
north,4,1,0.0
north,4,2,0.0
north,4,3,0.0
north,4,4,0.0
north,4,5,0.0
north,4,6,0.015
north,4,7,0.0996
north,4,8,0.216
north,4,9,0.3365
north,4,10,0.3986
north,4,11,0.4582
north,4,12,0.4492
north,4,13,0.4452
north,4,14,0.4167
north,4,15,0.3317
north,4,16,0.2335
north,4,17,0.148
north,4,18,0.053
north,4,19,0.0036
north,4,20,0.0
north,4,21,0.0
north,4,22,0.0
north,4,23,0.0
north,5,0,0.0
north,5,1,0.0
north,5,2,0.0
north,5,3,0.0
north,5,4,0.0
north,5,5,0.0061
north,5,6,0.0476
north,5,7,0.1554
north,5,8,0.275
north,5,9,0.3895
north,5,10,0.4858
north,5,11,0.526
north,5,12,0.5239
north,5,13,0.524
north,5,14,0.4886
north,5,15,0.4023
north,5,16,0.2983
north,5,17,0.2033
north,5,18,0.0812
north,5,19,0.0171
north,5,20,0.0
north,5,21,0.0
north,5,22,0.0
north,5,23,0.0
north,6,0,0.0
north,6,1,0.0
north,6,2,0.0
north,6,3,0.0
north,6,4,0.0
north,6,5,0.0112
north,6,6,0.0516
north,6,7,0.1575
north,6,8,0.273
north,6,9,0.3923
north,6,10,0.4622
north,6,11,0.5015
north,6,12,0.4996
north,6,13,0.4769
north,6,14,0.4639
north,6,15,0.393
north,6,16,0.3037
